Кто подарил Америке статую Свободы?; Французы, Англичане, Испанцы, Канадцы; history
Что означают 50 звезд на флаге США?; Кол-во штатов, Кол-во президентов,Кол-во колоний,Кол-во врагов; lions
Столица Соединенных Штатов Америки; Вашингтон, Нью-Йорк, Сан-Франциско, Чикаго; geo
Одно из главных современных блюд США; Бургер, Пицца, Суши, Паста; kitchen
Один из глубочайших каньонов в мире, находящийся на плато Колорадо?;Гранд-Каньон,Каньон Колка,Ярлунг-Цангпо,Кали Кандаки;lions
Самое большое озеро в системе Великих озер, расположенных между США и Канадой;Верхнее озеро, озеро Гурон, озеро Мичиган, озеро Онтарио;geo
Какой город соединяет висячий мост через пролив Золотые Ворота?;Сан-Франциско, Нью-Йорк, Кэнон-Сити, Сан-Диего;lions
С какой страной не граничат США?;	Гватемала,	Канада,	Мексика,	Аляска;	geo
Какой город был первой столицей США?;	Филадельфия,	Сиэтл,	Нью-Йорк,	Лас-Вегас;	history
Что символизируют полосы на американском флаге?;	первые колонии ,	13 богов индейцев,	самые большие штаты,	первых президентов;	history
Статуя Свободы в Нью-Йорке, оказывается, была подарена американцам. Кто же был такой щедрый на подарок?;	Франция,	Англия,	Австралия,	Россия;	lions
 В каком городе находится гора с надписью HOLLYWOOD?;	Лос-Анджелес,	Сан-Франциско,	Сан-Диего,	Лас-Вегас;	lions
Какое минимальное расстояние разделяет РФ и США?;	4км160м,	36км600м,	150км,	500км;	geo
В каком году был продан первый гамбургер в США?;	в 1900,	в 1930,	в 1980,	в 1991;	history
В Теллуриле, штат Колорадо, очень  коктейль - Митча Моргана. Ингридиентов в коктейле всего два. Первый - виски. Что является вторым ингридиентом?;	жаренный бекон,	поп-корн,	яйцо в смятку,	мята;	kitchen
На горе Рашмор  высечен гигантский барельеф высотой 18,6 метра, содержащий скульптурные портреты президентов США. Сколько президентов там изображено?;	4,	7,	9,	все;	lions
Какого города нельзя найти на карте США?;	Екатеринбург,	Одесса,	Москва,	Брест;	geo
Кто из нижеперечисленных людей не имеет собственную звезду на Аллее Славы на Голливудском бульваре?;	Джуллия Робертс ,	Чарли Чаплин,	Майкл Джексон,	Микки Маус;	lions
Какой самый большой штат США, территория которого составляет 1 717 854 км2? ;	Аляска,	Техас,	Нью-Йорк,	Калифорния;	geo
Какой город США называют ещё Большим яблоком?;	Нью-Йорк,	Сан-Франциско,	Лос-Анжелес,	Санта-Барбара;	geo
На границе с каким государством находится Ниагарский водопад?;	Канада,	Мексика,	Россия,	Куба;	geo
Голливуд -- всего лишь район этого города.;	Лос-Анжелес,	Москва,	Берлин,	Милан;	geo
Самый ковбойский штат США, в кино там кроживал крутой Рейнжер.;	Техас,	Аляска,	Калифорния,	Вашингтон;	lions
Где находится Капитолий?;	Вашингтон,	Хьюстон,	Сиэтл,	Нью-Йорк;	lions
Какую главную достопримечательность подарили США  французы?;	Статуя Свободы,	Капитолий,	Бруклинский мост,	Колизей;	lions
Какая еда стала неофициальным символом США?;	Хот-дог,	Блины,	Лазанья,	Роллы;	kitchen
В каком парке-заповеднике находется самый большой из известных дремлющих супервулканов?;	Йеллоустоун,	Йосимити,	Брайс-Каньон,	Денали;	lions
Какая долина прославилась своими движущимися камнями?;	Долина Смерти,	Долина Солнца,	Голубая долина,	Долина любви;	geo
В каком штате США находится знаменитая Кремниевая долина?;	Калифорния,	Техас,	Вашингтон,	Аляска;	lions
Как называется самая известная тюрьма-музей США?;	Алькатрас,	Матросская тишина,	Бастилия,	Тауэр;	lions
В честь этого американского штата назвали рубашку.;	Гавайи,	Небраска,	Юта,	Джорджия;	geo
Какой штат США назван в честь реки?;	Миссисипи,	Огайо,	Техас,	Аляска;	geo
